item_id,condition,class,depth,entity_type,salience_flag,ground_truth,response,finish_reason,parse_stage,parsed,strict_correct,consistent_correct,error
P001,1,definite,1,place,non_salient,west,The direction of Nant Ffynon-fawr from Nant Cwm-byddar cannot be determined.,stop,b,UNDET,False,False,
P002,1,definite,1,place,salient,west,cannot be determined,stop,a,UNDET,False,False,
P003,1,definite,1,place,non_salient,west,Cannot be determined.,stop,a,UNDET,False,False,
P004,1,definite,1,place,salient,north,cannot be determined,stop,a,UNDET,False,False,
P005,1,definite,1,place,non_salient,east,Cannot be determined.,stop,a,UNDET,False,False,
P006,1,definite,1,place,salient,east,cannot be determined,stop,a,UNDET,False,False,
P007,1,definite,1,place,salient,south,Cannot be determined.,stop,a,UNDET,False,False,
P008,1,definite,1,unit,n/a,south,The direction of Grosvenor from Stansty cannot be determined.,stop,b,UNDET,False,False,
P009,1,definite,1,unit,n/a,south,"Ogmore Valley Community is located to the west of Pentre Community. Therefore, the direction of Ogmore Valley Community from Pentre Community is west.",stop,b,west,False,False,
P010,1,definite,1,unit,n/a,west,"To determine the direction of Llandow Community from Llanfair Community using a four-sector compass frame, we need to know their relative positions on a map.  Llanfair Community is located in Powys, in the central part of Wales, while Llandow Community is located in the Vale of Glamorgan, in the southern part of Wales. Given these locations, Llandow Community is generally to the south of Llanfair Community.  Therefore, the direction of Llandow Community from Llanfair Community is south.",stop,b,south,False,False,
P011,1,definite,1,unit,n/a,west,"To determine the direction of Abercarn from Fairwater Community using a four-sector compass frame, we need to consider their relative positions on a map.  Abercarn is located in the county borough of Caerphilly, while Fairwater is a community in the city of Cardiff. On a map, Abercarn is generally located to the north of Cardiff.  Therefore, using the four-sector compass frame, the direction of Abercarn from Fairwater Community is north.",stop,b,north,False,False,
P012,1,definite,1,unit,n/a,east,Cannot be determined.,stop,a,UNDET,False,False,
P013,1,definite,1,unit,n/a,south,"Forest and Ffwddog is located to the north of Cwmyoy. Therefore, the direction of Forest and Ffwddog from Cwmyoy is north.",stop,b,north,False,False,
