item_id,class,depth,entity_type,salience_flag,A_id,A_name,B_id,B_name,M_id,M_name,premise_1,premise_2,ground_truth,seed
P001,definite,1,place,non_salient,https://w3id.org/qpm/data/os/place_10837,Nant Ffynon-fawr,https://w3id.org/qpm/data/os/place_10755,Nant Cwm-byddar,,,Nant Ffynon-fawr is the primary west neighbour of Nant Cwm-byddar,,west,20260620
P002,definite,1,place,salient,https://w3id.org/qpm/data/os/place_28682,Cae'r Orsaf,https://w3id.org/qpm/data/os/place_28676,Bron-y-fedw-isaf,,,Cae'r Orsaf is the primary west neighbour of Bron-y-fedw-isaf,,west,20260620
P003,definite,1,place,non_salient,https://w3id.org/qpm/data/os/place_29385,Coed y Mor,https://w3id.org/qpm/data/os/place_29383,Coed Crawley,,,Coed y Mor is the primary west neighbour of Coed Crawley,,west,20260620
P004,definite,1,place,salient,https://w3id.org/qpm/data/os/place_30050,Taldrwst Bach,https://w3id.org/qpm/data/os/place_30036,Pen Fynnon,,,Taldrwst Bach is the primary north neighbour of Pen Fynnon,,north,20260620
P005,definite,1,place,non_salient,https://w3id.org/qpm/data/os/place_45413,Coed-y-wernlys,https://w3id.org/qpm/data/os/place_45408,Pen-y-fai Common,,,Coed-y-wernlys is the primary east neighbour of Pen-y-fai Common,,east,20260620
P006,definite,1,place,salient,https://w3id.org/qpm/data/os/place_7207,Bwlch-y-Rhew,https://w3id.org/qpm/data/os/place_7212,Clynmawr,,,Bwlch-y-Rhew is the primary east neighbour of Clynmawr,,east,20260620
P007,definite,1,place,salient,https://w3id.org/qpm/data/os/place_9932,Cefncilwg,https://w3id.org/qpm/data/os/place_9935,Coed Maescastell,,,Cefncilwg is the primary south neighbour of Coed Maescastell,,south,20260620
P008,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04000240-grosvenor,Grosvenor,https://w3id.org/qpm/data/admin/W04000240-stansty,Stansty,,,Grosvenor is the primary south neighbour of Stansty,,south,20260620
P009,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04000643,Ogmore Valley Community,https://w3id.org/qpm/data/admin/W04000695,Pentre Community,,,Ogmore Valley Community is the primary south neighbour of Pentre Community,,south,20260620
P010,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04000657,Llandow Community,https://w3id.org/qpm/data/admin/W04000658,Llanfair Community,,,Llandow Community is the primary west neighbour of Llanfair Community,,west,20260620
P011,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04000725,Abercarn,https://w3id.org/qpm/data/admin/W04000983,Fairwater Community,,,Abercarn is the primary west neighbour of Fairwater Community,,west,20260620
P012,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04001056-wynnstay,Wynnstay,https://w3id.org/qpm/data/admin/W04000890-maesydre,Maesydre,,,Wynnstay is the primary east neighbour of Maesydre,,east,20260620
P013,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04001061-forest-and-ffwddog,Forest and Ffwddog,https://w3id.org/qpm/data/admin/W04001061-cwmyoy,Cwmyoy,,,Forest and Ffwddog is the primary south neighbour of Cwmyoy,,south,20260620
P014,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04001071-mardy,Mardy,https://w3id.org/qpm/data/admin/W04001071-pantygelli,Pantygelli,,,Mardy is the primary south neighbour of Pantygelli,,south,20260620
P015,definite,1,unit,n/a,https://w3id.org/qpm/data/admin/W04001076-drybridge,Drybridge,https://w3id.org/qpm/data/admin/W04001076-osbaston,Osbaston,,,Drybridge is the primary west neighbour of Osbaston,,west,20260620
